variant,key_bits,value_bits,target_load,capacity,inserted,payload_bytes,memory_bytes,actual_load,space_efficiency,memory_mb
chained-tpht,64,64,0.99,202021,200000,3200000,3456761,0.989996,0.925722,3.30
flatten-tpht,32,8,0.05,4000000,200000,1000000,17211016,0.050000,0.058102,16.41
flatten-tpht,32,8,0.10,2000000,200000,1000000,8605832,0.100000,0.116200,8.21
flatten-tpht,32,8,0.15,1333334,200000,1000000,5099400,0.150000,0.196102,4.86
flatten-tpht,32,8,0.20,1000000,200000,1000000,4303240,0.200000,0.232383,4.10
flatten-tpht,32,8,0.25,800000,200000,1000000,4314348,0.250000,0.231785,4.11
flatten-tpht,32,8,0.30,666667,200000,1000000,3565200,0.300000,0.280489,3.40
flatten-tpht,32,8,0.35,571429,200000,1000000,2918313,0.350000,0.342664,2.78
flatten-tpht,32,8,0.40,500000,200000,1000000,2526504,0.400000,0.395804,2.41
flatten-tpht,32,8,0.45,444445,200000,1000000,2314705,0.449999,0.432020,2.21
flatten-tpht,32,8,0.50,400000,200000,1000000,2205933,0.500000,0.453323,2.10
flatten-tpht,32,8,0.55,363637,200000,1000000,2151547,0.549999,0.464782,2.05
flatten-tpht,32,8,0.60,333334,200000,1000000,1782796,0.599999,0.560917,1.70
flatten-tpht,32,8,0.65,307693,200000,1000000,1604318,0.649999,0.623318,1.53
flatten-tpht,32,8,0.70,285715,200000,1000000,1459544,0.699998,0.685145,1.39
flatten-tpht,32,8,0.75,266667,200000,1000000,1347325,0.749999,0.742211,1.28
flatten-tpht,32,8,0.80,250000,200000,1000000,1263448,0.800000,0.791485,1.20
flatten-tpht,32,8,0.85,235295,200000,1000000,1202168,0.849997,0.831830,1.15
flatten-tpht,32,8,0.90,222223,200000,1000000,1157740,0.899997,0.863752,1.10
flatten-tpht,32,8,0.95,210527,200000,1000000,1125951,0.949997,0.888138,1.07
flatten-tpht,32,8,0.99,202021,200000,1000000,1107184,0.989996,0.903192,1.06
flatten-tpht,32,16,0.05,4000000,200000,1200000,20209288,0.050000,0.059379,19.27
flatten-tpht,32,16,0.10,2000000,200000,1200000,10104840,0.100000,0.118755,9.64
flatten-tpht,32,16,0.15,1333334,200000,1200000,7130008,0.150000,0.168303,6.80
flatten-tpht,32,16,0.20,1000000,200000,1200000,5052616,0.200000,0.237501,4.82
flatten-tpht,32,16,0.25,800000,200000,1200000,4411474,0.250000,0.272018,4.21
flatten-tpht,32,16,0.30,666667,200000,1200000,4718944,0.300000,0.254294,4.50
flatten-tpht,32,16,0.35,571429,200000,1200000,3867244,0.350000,0.310298,3.69
flatten-tpht,32,16,0.40,500000,200000,1200000,3245554,0.400000,0.369737,3.10
flatten-tpht,32,16,0.45,444445,200000,1200000,2825314,0.449999,0.424732,2.69
flatten-tpht,32,16,0.50,400000,200000,1200000,2552464,0.500000,0.470134,2.43
flatten-tpht,32,16,0.55,363637,200000,1200000,2379064,0.549999,0.504400,2.27
flatten-tpht,32,16,0.60,333334,200000,1200000,2271454,0.599999,0.528296,2.17
flatten-tpht,32,16,0.65,307693,200000,1200000,2205154,0.649999,0.544180,2.10
flatten-tpht,32,16,0.70,285715,200000,1200000,2164354,0.699998,0.554438,2.06
flatten-tpht,32,16,0.75,266667,200000,1200000,1763988,0.749999,0.680277,1.68
flatten-tpht,32,16,0.80,250000,200000,1200000,1623228,0.800000,0.739268,1.55
flatten-tpht,32,16,0.85,235295,200000,1200000,1506948,0.849997,0.796311,1.44
flatten-tpht,32,16,0.90,222223,200000,1200000,1413108,0.899997,0.849192,1.35
flatten-tpht,32,16,0.95,210527,200000,1200000,1337118,0.949997,0.897453,1.28
flatten-tpht,32,16,0.99,202021,200000,1200000,1287648,0.989996,0.931932,1.23
flatten-tpht,32,32,0.05,4000000,200000,1600000,35319314,0.050000,0.045301,33.68
flatten-tpht,32,32,0.10,2000000,200000,1600000,17659853,0.100000,0.090601,16.84
flatten-tpht,32,32,0.15,1333334,200000,1600000,10257958,0.150000,0.155976,9.78
flatten-tpht,32,32,0.20,1000000,200000,1600000,8830441,0.200000,0.181191,8.42
flatten-tpht,32,32,0.25,800000,200000,1600000,6118436,0.250000,0.261505,5.83
flatten-tpht,32,32,0.30,666667,200000,1600000,5129175,0.300000,0.311941,4.89
flatten-tpht,32,32,0.35,571429,200000,1600000,4646329,0.350000,0.344358,4.43
flatten-tpht,32,32,0.40,500000,200000,1600000,4415735,0.400000,0.362341,4.21
flatten-tpht,32,32,0.45,444445,200000,1600000,4213060,0.449999,0.379771,4.02
flatten-tpht,32,32,0.50,400000,200000,1600000,3701180,0.500000,0.432295,3.53
flatten-tpht,32,32,0.55,363637,200000,1600000,3312304,0.549999,0.483047,3.16
flatten-tpht,32,32,0.60,333334,200000,1600000,3016636,0.599999,0.530392,2.88
flatten-tpht,32,32,0.65,307693,200000,1600000,2794312,0.649999,0.572592,2.66
flatten-tpht,32,32,0.70,285715,200000,1600000,2626232,0.699998,0.609238,2.50
flatten-tpht,32,32,0.75,266667,200000,1600000,2500172,0.749999,0.639956,2.38
flatten-tpht,32,32,0.80,250000,200000,1600000,2404672,0.800000,0.665371,2.29
flatten-tpht,32,32,0.85,235295,200000,1600000,2332856,0.849997,0.685855,2.22
flatten-tpht,32,32,0.90,222223,200000,1600000,2279376,0.899997,0.701946,2.17
flatten-tpht,32,32,0.95,210527,200000,1600000,2238120,0.949997,0.714886,2.13
flatten-tpht,32,32,0.99,202021,200000,1600000,2212144,0.989996,0.723280,2.11
flatten-tpht,32,64,0.05,4000000,200000,2400000,52301909,0.050000,0.045887,49.88
flatten-tpht,32,64,0.10,2000000,200000,2400000,26151723,0.100000,0.091772,24.94
flatten-tpht,32,64,0.15,1333334,200000,2400000,19174093,0.150000,0.125169,18.29
flatten-tpht,32,64,0.20,1000000,200000,2400000,13076630,0.200000,0.183534,12.47
flatten-tpht,32,64,0.25,800000,200000,2400000,10721365,0.250000,0.223852,10.22
flatten-tpht,32,64,0.30,666667,200000,2400000,9587815,0.300000,0.250318,9.14
flatten-tpht,32,64,0.35,571429,200000,2400000,9029055,0.350000,0.265809,8.61
flatten-tpht,32,64,0.40,500000,200000,2400000,6538511,0.400000,0.367056,6.24
flatten-tpht,32,64,0.45,444445,200000,2400000,5842351,0.449999,0.410794,5.57
flatten-tpht,32,64,0.50,400000,200000,2400000,5361451,0.500000,0.447640,5.11
flatten-tpht,32,64,0.55,363637,200000,2400000,5027111,0.549999,0.477411,4.79
flatten-tpht,32,64,0.60,333334,200000,2400000,4794676,0.599999,0.500555,4.57
flatten-tpht,32,64,0.65,307693,200000,2400000,4630941,0.649999,0.518253,4.42
flatten-tpht,32,64,0.70,285715,200000,2400000,4515296,0.699998,0.531527,4.31
flatten-tpht,32,64,0.75,266667,200000,2400000,3944488,0.749999,0.608444,3.76
flatten-tpht,32,64,0.80,250000,200000,2400000,3678640,0.800000,0.652415,3.51
flatten-tpht,32,64,0.85,235295,200000,2400000,3453496,0.849997,0.694948,3.29
flatten-tpht,32,64,0.90,222223,200000,2400000,3263968,0.899997,0.735301,3.11
flatten-tpht,32,64,0.95,210527,200000,2400000,3102424,0.949997,0.773589,2.96
flatten-tpht,32,64,0.99,202021,200000,2400000,2990488,0.989996,0.802545,2.85
flatten-tpht,64,8,0.05,4000000,200000,1800000,38465052,0.050000,0.046796,36.68
flatten-tpht,64,8,0.10,2000000,200000,1800000,19233104,0.100000,0.093589,18.34
flatten-tpht,64,8,0.15,1333334,200000,1800000,12065368,0.150000,0.149187,11.51
flatten-tpht,64,8,0.20,1000000,200000,1800000,9616748,0.200000,0.187173,9.17
flatten-tpht,64,8,0.25,800000,200000,1800000,8825244,0.250000,0.203960,8.42
flatten-tpht,64,8,0.30,666667,200000,1800000,6032880,0.300000,0.298365,5.75
flatten-tpht,64,8,0.35,571429,200000,1800000,5251308,0.350000,0.342772,5.01
flatten-tpht,64,8,0.40,500000,200000,1800000,4808952,0.400000,0.374302,4.59
flatten-tpht,64,8,0.45,444445,200000,1800000,4557596,0.449999,0.394945,4.35
flatten-tpht,64,8,0.50,400000,200000,1800000,4413200,0.500000,0.407867,4.21
flatten-tpht,64,8,0.55,363637,200000,1800000,3849250,0.549999,0.467624,3.67
flatten-tpht,64,8,0.60,333334,200000,1800000,3482158,0.599999,0.516921,3.32
flatten-tpht,64,8,0.65,307693,200000,1800000,3193474,0.649999,0.563649,3.05
flatten-tpht,64,8,0.70,285715,200000,1800000,2966269,0.699998,0.606823,2.83
flatten-tpht,64,8,0.75,266667,200000,1800000,2788069,0.749999,0.645608,2.66
flatten-tpht,64,8,0.80,250000,200000,1800000,2647291,0.800000,0.679940,2.52
flatten-tpht,64,8,0.85,235295,200000,1800000,2536807,0.849997,0.709553,2.42
flatten-tpht,64,8,0.90,222223,200000,1800000,2450380,0.899997,0.734580,2.34
flatten-tpht,64,8,0.95,210527,200000,1800000,2380882,0.949997,0.756022,2.27
flatten-tpht,64,8,0.99,202021,200000,1800000,2336332,0.989996,0.770438,2.23
flatten-tpht,64,16,0.05,4000000,200000,2000000,42349885,0.050000,0.047226,40.39
flatten-tpht,64,16,0.10,2000000,200000,2000000,21175584,0.100000,0.094448,20.19
flatten-tpht,64,16,0.15,1333334,200000,2000000,17585745,0.150000,0.113728,16.77
flatten-tpht,64,16,0.20,1000000,200000,2000000,10587988,0.200000,0.188893,10.10
flatten-tpht,64,16,0.25,800000,200000,2000000,9304057,0.250000,0.214960,8.87
flatten-tpht,64,16,0.30,666667,200000,2000000,8793514,0.300000,0.227440,8.39
